"CUSEC";"RANKING_UP";"RANKING_UP_PSOE";"UP_MEDIANA";"COD_PROV";"COD_MUN";"DISTRITO";"SECCION"
"0100101001";"1.0";"0";"1.0";10;10;10;1
"0100101002";"1.0";"0";"1.0";10;10;10;2
"0100201001";"1.0";"0";"1.0";10;20;10;1
"0100201002";"1.0";"0";"1.0";10;20;10;2
"0100201003";"1.0";"0";"1.0";10;20;10;3
"0100201004";"1.0";"0";"1.0";10;20;10;4
"0100201005";"2.0";"0";"1.0";10;20;10;5
"0100201006";"1.0";"0";"1.0";10;20;10;6
"0100201007";"1.0";"0";"1.0";10;20;10;7
"0100301001";"1.0";"0";"1.0";10;30;10;1
"0100401001";"1.0";"0";"1.0";10;40;10;1
"0100601001";"1.0";"0";"1.0";10;60;10;1
"0100801001";"1.0";"0";"0.5";10;80;10;1
"0100901001";"1.0";"0";"1.0";10;90;10;1
"0101001001";"1.0";"0";"1.0";10;100;10;1
"0101001002";"1.0";"0";"1.0";10;100;10;2
"0101101001";"1.0";"0";"0.0";10;110;10;1